hotel_name,hotel_city,cleanliness_score,room_score,service_score,location_score,value_score,safety_score,comfort_score,transportation_score,noise_score
usa_nevada_las-vegas_a_fishers_inn,las-vegas,1.0205899405903442,1.3050939125793708,2.8282781423745487,2.57573001177937,1.0,2.957939648268055,1.0,2.3010428485254995,1.9942740169354096
usa_nevada_las-vegas_alexis_park_resort,las-vegas,3.1164610735005267,3.2261287025143717,2.986435291080645,2.982057500001299,3.2023297989317303,2.9454670736820425,3.502871107541046,2.685159329577322,2.0505579619165335
usa_nevada_las-vegas_americana_5,las-vegas,2.185440335414674,2.3721593847038616,3.1620417643290173,2.813310035425216,3.8037663802952477,3.798174489206296,2.4677010076331953,1.6223156255225755,1.2213038358183455
usa_nevada_las-vegas_americas_best_value_inn,las-vegas,4.51118782071436,3.9870254803480067,3.4752529066192452,3.749983821003136,4.793921218833157,2.957939648268055,4.176283406953919,4.253875268664557,1.9942740169354096
usa_nevada_las-vegas_americas_best_value_inn_las_vegas,las-vegas,3.1358625273439857,3.223446768459847,3.0624540422468285,3.0039993202957374,3.0024463911698964,3.163697824687698,3.593489094570031,2.6777758633463864,2.324296027982197
usa_nevada_las-vegas_arizona_charlie_s_boulder_casino_hotel,las-vegas,3.3055282967014876,3.4364271509015296,3.193491237083054,2.881303784223448,3.8738542755158267,3.114120229247508,3.2517423683387228,2.3935463942478155,2.1273337398494627
usa_nevada_las-vegas_arizona_charlie_s_decatur,las-vegas,3.3554828215715853,3.6146994489988007,3.090854746015058,2.961458516025732,3.74359158949353,3.3581436739264805,3.6314530495473707,2.624014112586619,1.986370602757765
usa_nevada_las-vegas_artisan_hotel,las-vegas,2.5948788007601853,2.727785288770181,2.89999680367015,2.6399433996641015,2.9225257499437474,2.7677129571668964,3.483657490403689,2.3198116223891763,1.9964392436887082
usa_nevada_las-vegas_aruba_hotel,las-vegas,2.9992296724736227,2.7347395869131033,3.0759137383698523,2.7159911201338716,3.427824755600157,2.3178586712989855,3.206210384304894,1.9899372698922222,1.2396869359877867
usa_nevada_las-vegas_atrium_suites_hotel_las_vegas,las-vegas,3.438129017945257,3.4709337480918023,3.448391651541667,3.038434361472803,3.371980379716077,3.087131611673228,3.6672145785585406,2.3923512169629095,2.1687088244448685
usa_nevada_las-vegas_aztec_inn,las-vegas,3.165424482263231,3.340191212498103,3.124986448429657,2.690928463733994,4.16275167480585,3.3993518960225484,3.8119679167416596,2.511741215321396,1.9942740169354096
usa_nevada_las-vegas_bally_s_las_vegas_hotel_casino,las-vegas,3.54592902597317,3.8740380396693506,3.3471944546371293,3.446948764042727,3.814631101028572,3.183743459111627,3.6850642032580305,3.0328872444172035,2.2528667851347457
usa_nevada_las-vegas_bel_aire_west,las-vegas,2.0033107344889,1.589839422789482,2.686652620656599,2.188947682970709,1.4682425670937214,2.957939648268055,2.5107980013101434,1.8749458327210673,3.114174522830082
usa_nevada_las-vegas_bellagio_las_vegas,las-vegas,3.299873089165075,4.114884450557281,3.8327945474521368,3.4292806559105564,3.874780360868003,3.0374784333952256,3.7376553083208406,3.0145198515125893,2.2928200454653487
usa_nevada_las-vegas_best_western_main_street_inn,las-vegas,3.3692445247467027,3.487776613417097,3.294206544350963,2.945130628009453,3.8776417207190703,3.3220005566161226,3.9521283679187875,2.5997533029122346,1.95724288146836
usa_nevada_las-vegas_best_western_mardi_gras_hotel_casino,las-vegas,3.3939736329997707,3.5136543711530646,3.4222015033768973,3.002595764605831,3.7254578316867613,3.1186831209747896,3.587881010713153,2.966819935022028,2.0682710601059116
usa_nevada_las-vegas_best_western_mccarran_inn,las-vegas,3.820428240913204,3.6414324836660366,3.396993623905856,3.329286838177904,3.8166829848676724,3.0533513611176835,3.786354314557199,3.0809058925755086,2.50946431182321
usa_nevada_las-vegas_best_western_nellis_motor_inn,las-vegas,3.383320721245915,2.4766561687306394,2.6688865874174876,2.5446164010645242,2.829508930428338,2.957939648268055,4.188929757307169,2.1981927217905923,1.16085395060318
usa_nevada_las-vegas_best_western_parkview_inn,las-vegas,3.5726234309604656,3.562871329948167,3.904644287736466,3.2249775739286157,4.447685220672353,2.3086232617250775,3.924480290325704,3.325857356088373,1.9942740169354096
usa_nevada_las-vegas_bill_s_gamblin_hall_saloon,las-vegas,3.939699064110476,4.494056021239556,3.80369971197731,4.011140967719164,4.709437211635154,3.257242674463765,4.236495877690751,3.313634543975281,3.1803910811480045
usa_nevada_las-vegas_binion_s_horseshoe_hotel_casino_las_vegas,las-vegas,3.2579814926821813,3.5047644322180145,3.3467800702829043,2.9569326387711916,3.515116180768886,3.062875129076905,3.4800404300054346,2.6377966743176553,2.170103703988411
usa_nevada_las-vegas_blair_house_suites,las-vegas,2.736405482275276,3.0202996687418207,2.828681153770594,2.797596676311996,3.3758918843553736,2.8258834005448925,3.2096054522142885,2.7278469688048057,1.9942740169354096
usa_nevada_las-vegas_boulder_station_hotel_and_casino,las-vegas,3.4498272217197092,3.785111354868418,3.349910825150431,3.022437333687652,3.7124245388925927,3.347716033543175,3.4839110443833077,3.0330911787216603,2.1282045375099115
usa_nevada_las-vegas_budget_suites_of_america_las_vegas,las-vegas,1.9541414412286608,2.21703899882959,1.2840261372323758,1.0,1.456710483773874,1.0,3.0590677070725922,2.3010428485254995,1.9942740169354096
usa_nevada_las-vegas_budget_suites_of_america_north_rancho_drive,las-vegas,1.792885514272128,1.2014452519292376,1.0,1.721472985926316,2.829508930428338,2.957939648268055,3.0590677070725922,1.358711006301129,1.9942740169354096
usa_nevada_las-vegas_budget_suites_of_america_stardust_road,las-vegas,3.117763009194461,1.6795620597750684,1.7604112477893783,2.57573001177937,2.829508930428338,2.957939648268055,3.0590677070725922,2.5798494963827476,1.9942740169354096
usa_nevada_las-vegas_budget_suites_of_america_tropicana_i_15,las-vegas,2.5216184553795067,3.125160045245145,3.64395048795458,2.57573001177937,3.8048246492854303,2.957939648268055,3.0590677070725922,2.3010428485254995,1.9942740169354096
usa_nevada_las-vegas_budget_suites_of_america_wynn,las-vegas,1.5780462012959808,1.8542078246552935,2.3058463287562563,1.7620850552173748,3.2677444609196065,2.957939648268055,3.559599587009878,1.3889158681680658,1.9719783187303221
usa_nevada_las-vegas_caesars_palace_classic_hotel,las-vegas,3.114019809835828,3.874068736445989,3.447268524709256,3.201958687435285,3.518959282297197,3.0974592067216666,3.559013422251426,2.8268847012571308,2.0845419976249877
