hotel_name,hotel_city,cleanliness_score,room_score,service_score,location_score,value_score,safety_score,comfort_score,transportation_score,noise_score
india_new delhi_airport_hotel,new-delhi,2.7349076497475178,2.1710930416509937,2.7574810594049946,2.211396265371593,2.4111145839365955,2.0923374974412376,2.1289966001984997,2.6323982857779358,3.2833076871823335
india_new delhi_ajanta_hotel,new-delhi,3.254241187302738,3.157545564128619,3.183033824636043,2.5933485553719136,2.9404700611810055,2.6393969373315995,2.8784445609301392,2.9856222438040705,3.4223472629954266
india_new delhi_ajay_guest_house,new-delhi,1.732065022320777,2.1757338114012885,1.733841842741131,2.846410189782991,2.4062788106097557,2.981376750279513,2.1289966001984997,2.6840469250552212,3.804501442674953
india_new delhi_aman_new_delhi,new-delhi,2.8673919533200736,4.5383027638366364,4.061565165907481,3.6441044484483616,2.958954905056775,2.0923374974412376,2.1289966001984997,2.4526991260466557,3.3096475900773763
india_new delhi_amarya_garden,new-delhi,3.7759392030022663,4.7554125611567954,4.815552531877798,3.9987156530652377,4.086443869760438,3.03417788629861,4.043894396661917,3.8299442989651067,3.3096475900773763
india_new delhi_ambassador_hotel,new-delhi,3.534775475606383,3.7996260516624254,3.769902835434356,2.906696461787382,3.3778029865204067,3.029149754279042,3.979969291392157,3.578939548668115,3.6013285086398215
india_new delhi_ananda_hotel,new-delhi,4.232732237429303,3.7626698082984427,3.496920367136544,2.926584091897883,3.565222838417353,2.3614594212427535,3.7110902214859176,3.3587162874994947,3.7239682903313494
india_new delhi_ashok_country_resort,new-delhi,3.400319310688998,3.5170542507628513,3.052439004691274,2.751997890926724,2.710277347772733,2.4726880138893623,2.954912952303015,3.0658357069735795,3.7859902080816235
india_new delhi_ashok_hotel,new-delhi,2.337172986578564,2.0905822564266074,1.8472542983577191,2.00657191719994,2.4971207518920475,1.7842532467097225,1.930510048193863,2.013429137672388,3.102571073689924
india_new delhi_atrium_hotel_and_conferencing_center,new-delhi,1.0,1.5821573590272116,1.0,1.0453055925523587,1.7695275546186657,2.0923374974412376,3.57697084185139,1.0,1.0
india_new delhi_avalon_courtyard,new-delhi,3.7118334119341507,3.9427247747849683,3.490389355483925,3.783802348523861,3.3446817453266173,2.0923374974412376,2.742645851769045,2.9281981939105624,3.3096475900773763
india_new delhi_claremont_hotel_and_convention_centre,new-delhi,3.3748109666882127,3.6012832313041847,2.812071208239505,2.667991902644723,2.762584994295235,2.736382163990039,2.691515115579066,2.6897249219903365,3.6089523538824486
india_new delhi_clarion_collection_qutab_hotel_apartments,new-delhi,3.0991014810429696,2.8715363747541627,2.3620548439498723,2.1634266162199998,2.5593597838934983,2.0676651604803227,3.1508183294529144,2.809310243937266,2.746943773846718
india_new delhi_conclave_comfort,new-delhi,1.9146887424101726,1.3494111241976463,1.5847805285742353,1.146480763546654,1.4150071531687867,2.0923374974412376,2.653291162472755,2.4526991260466557,3.3096475900773763
india_new delhi_corus_hotel,new-delhi,3.295148012092305,3.1897863687869963,3.0264349229266365,3.175745586823626,3.1664625886995164,2.8080924929932753,2.859493123352337,2.907926625703242,4.042872917052129
india_new delhi_cottage_yes_please,new-delhi,3.8650311894439495,3.7334004518806205,3.4447922448459676,3.0892491346002995,3.669870152113883,2.0923374974412376,2.353450446574355,3.0155089972994724,3.48832129713303
india_new delhi_crest_inn_hotel_new_delhi,new-delhi,2.830346216529883,2.3218516176859585,1.7694446289650347,2.48223767977725,2.750039735077091,2.1666732592032654,1.0,1.9830302468022092,3.1087296798267445
india_new delhi_crowne_plaza_delhi,new-delhi,3.122030933492105,3.484448985370752,3.1936347610830276,2.8896229018243993,2.9097183991989812,2.446965327517264,2.897392738010373,3.1336306675082524,3.5089464971827655
india_new delhi_ginger_new_delhi,new-delhi,4.226465077360586,4.091628732414787,3.3833455635448213,2.9563736665741502,4.134621609941886,2.853508203307272,3.0520456883594176,4.665590623976237,3.7179167804987316
india_new delhi_grand_godwin_hotel,new-delhi,3.7688175609709194,3.39388535583123,2.958198817508369,2.758446059070603,3.4276156417191563,2.3347020782845473,2.8634786577749747,3.4896154205614898,3.6128855221985496
india_new delhi_grand_sartaj_hotel,new-delhi,3.2706450891190246,3.008698412627154,3.6344860945435444,2.5206601258585364,3.0417964751614885,2.0923374974412376,2.1289966001984997,2.1972740203615926,2.349026245016082
india_new delhi_hans_plaza,new-delhi,3.8700975181789676,3.8266281165421003,3.0579405198389638,2.9671961465983276,3.536808591066489,3.1272277299085056,3.2466189798681135,3.5692082728263093,3.6580695583578433
india_new delhi_hotel_55,new-delhi,3.218724746074318,2.487272943319472,2.892039372658787,2.1394361229871652,3.12964645322506,2.424473276064541,2.928370882399423,2.818931390498559,2.6713614968008317
india_new delhi_hotel_alka,new-delhi,2.1499988208647123,1.8350278225180552,1.422157324853393,1.0,1.6801307212965155,1.592336825873001,2.6184297118886573,2.8958165979478236,2.9606334395566347
india_new delhi_hotel_apra_inn,new-delhi,4.035415092532769,3.1836714351112696,3.4195692693285746,2.720734908037185,2.4877932865261805,3.8045171674007277,2.1289966001984997,4.487613585902531,3.3096475900773763
india_new delhi_hotel_aster_inn,new-delhi,4.092942616876572,4.3709648809362065,4.508210488934871,3.653927361693917,3.7578646161062994,2.0923374974412376,2.6207645466724383,4.1189559290761295,3.742368991296601
india_new delhi_hotel_balaji_deluxe,new-delhi,3.2534082469650993,3.036011530014153,2.447168845694791,2.1377462167780488,3.009006824568975,1.1869610180885228,2.1289966001984997,2.629245729121825,3.3096475900773763
india_new delhi_hotel_broadway,new-delhi,3.16184524555939,3.453033153405419,2.994642870802667,2.384503848066667,2.995516399075284,2.2466881184012437,2.651673943366583,2.984040004933966,3.317984598314375
india_new delhi_hotel_c_park_inn,new-delhi,4.104500101424854,3.7064641219052,4.689545953059152,3.0035108493565628,3.568901186472067,2.0923374974412376,4.245093461770987,4.119207590776181,3.9077194791626524
india_new delhi_hotel_chand_palace,new-delhi,1.8491392468787582,2.2269657436716006,2.058657469267379,1.9632205330950638,2.5190491610975583,1.617939839476981,2.776812300470238,2.680508051523177,2.2842680929605477
india_new delhi_hotel_city_park,new-delhi,3.776562073529497,3.4954807549243267,3.384714820349726,2.7047368807183307,3.111881027236253,1.8939050732695941,2.6050271535910388,3.1337199434092686,3.92027700493639
india_new delhi_hotel_clark_heights,new-delhi,3.3408019869923726,3.3127362514163803,3.4980711623833276,3.0700684797080493,3.0056037531094772,2.493697128328133,2.463285670837668,3.0821982998594786,4.001426962692421
india_new delhi_hotel_clark_international,new-delhi,3.7801756326711273,3.5813312442484193,3.4032806554201884,2.9188493661621817,3.3386988401074906,2.7665337439433033,3.144839529835832,3.273030927241128,3.7715943090922357
india_new delhi_hotel_classic,new-delhi,3.91495220836965,3.5981338163732017,3.813080680373743,2.8072566711980933,2.927270824643842,2.9348223398371927,2.8667978700422516,3.649959148182926,3.552116118454805
india_new delhi_hotel_dee_marks,new-delhi,3.150086102590327,2.9233447879540364,2.579418402683521,2.1454179145406362,2.839798133929775,2.0923374974412376,2.1289966001984997,2.4526991260466557,3.3096475900773763
india_new delhi_hotel_delhi_city_centre,new-delhi,2.9086541778811874,2.9496136503783266,2.405195536114385,2.2130775499341766,2.869655596001037,2.0923374974412376,2.622201800671725,2.6625737279100274,3.1592172415595674
india_new delhi_hotel_express_66,new-delhi,3.624183198145947,3.5621762525022747,3.381296457177298,2.970993789699916,3.182748386493174,2.5808817828588415,3.3394219471365343,2.698806945498247,3.714071395434401
india_new delhi_hotel_florence,new-delhi,3.4700967328532397,3.440176296609543,3.4410577730520227,2.3136514917023216,4.08364594969517,3.7369238611145033,4.327708746577789,3.0132773527976067,2.5657762017938914
india_new delhi_hotel_good_palace,new-delhi,3.664309890496106,3.500923702104164,4.413337247587239,3.0720910880032735,3.711190565650098,3.179683028368601,2.1289966001984997,2.7438288438787475,3.9173972528748693
india_new delhi_hotel_grand_park_inn,new-delhi,4.058558007890617,3.7102160853181965,4.017546185432977,2.993149963494798,3.619220532307947,3.382385847653995,3.7264212013437037,3.5216395425976503,3.333554207177537
india_new delhi_hotel_grand_peepal,new-delhi,3.559822274302934,3.76121060656476,3.567859941678922,3.141444506552928,3.758011641118413,5.0,3.1068365032826244,3.72945852586471,3.3096475900773763
india_new delhi_hotel_janpath_ashok,new-delhi,2.458665890741405,2.133139857066539,2.261597867429641,2.334344180603499,2.3350455129580574,2.1596644774477545,1.475056856627995,2.661681152505829,2.815191308222471
