hotel_name,hotel_city,cleanliness_score,room_score,service_score,location_score,value_score,safety_score,comfort_score,transportation_score,noise_score
usa_san francisco_abigail_hotel,san-francisco,2.833028473911495,1.8999257041233084,2.188610629543475,1.928487561180111,2.6295461479436084,2.240796583142105,2.1210791049393993,1.9565651774534587,1.75541528207046
usa_san francisco_adante_hotel,san-francisco,4.1368834979003815,3.6008000973580456,3.022446282434518,3.1610928024131453,3.161500530764756,3.4111906445549396,2.8576363845847688,2.972296790807628,2.4977244584647567
usa_san francisco_aida_hotel,san-francisco,2.232866704300382,1.6288074488429698,1.4195355333049573,1.0873868684071994,1.482126956891253,2.956301335698651,1.792049944357276,1.974551578101209,2.029445876154548
usa_san francisco_alexander_inn,san-francisco,2.4253243594036116,2.0788094013241722,2.257454675067978,2.0278004693472154,1.7802900879299006,2.629879741163121,1.792049944357276,1.6082697784901585,1.0
usa_san francisco_alexis_park_san_francisco,san-francisco,4.486659040855638,4.474043808788787,3.7634994963245765,3.333290215243961,3.3596387013897933,2.767955589032579,4.7768623062675095,3.391112553146151,2.97481183982877
usa_san francisco_alpha_inn_and_suites_san_francisco,san-francisco,2.7092677625547585,2.400816220194649,1.722840806559898,2.4660738159769773,1.7861038292329328,2.568341898196155,2.4420409590034557,3.0582288988540633,2.014275501655573
usa_san francisco_america_s_best_inn_san_francisco,san-francisco,2.501772235166942,2.4595224880468756,2.2576587632213396,2.4479876175880193,2.8848257071520464,2.9864698600057875,2.130217742226579,2.8280670886283223,2.7721281461756817
usa_san francisco_americas_best_value_inn_golden_gate,san-francisco,3.1142217573122855,2.883584638887018,2.594770039599454,2.7284959422374637,2.1300406523300532,2.925884211012536,2.6565771239257003,3.0028596393293827,1.7615257709052476
usa_san francisco_americas_best_value_inn_suites_soma,san-francisco,3.750294959875168,3.1847220515206653,2.3471058315235536,2.5336579909363035,3.1468945907385257,2.874421466420209,1.6912528828506832,2.692063854489314,1.884282361119127
usa_san francisco_americas_best_value_inn_suites_union_square,san-francisco,1.592274350879078,1.4910978378275324,1.3342342012801205,1.0,1.0,1.3917461838702543,2.4833740553864967,1.0,1.4755480720561742
usa_san francisco_andrews_hotel,san-francisco,4.12160241137939,4.467121800364703,4.038434027703711,3.793879233133649,3.6457057271466526,2.897713963826935,4.116346996690623,3.4912373313217686,3.2677993603980253
usa_san francisco_ansonia_abby_hotel,san-francisco,3.291501515690314,3.201704028567362,2.216695734171609,1.9038906068541923,2.6323988129630487,3.336802656200865,2.3926476339284415,2.34883730759441,1.8452570360228693
usa_san francisco_archstone_south_market,san-francisco,4.4007596141587095,4.99873745398698,4.840638388491197,5.0,4.394534305031592,5.0,1.792049944357276,5.0,2.044441339265062
usa_san francisco_argonaut_hotel_a_kimpton_hotel,san-francisco,3.857070847625476,4.434948096710684,4.032810695383852,3.983608382444523,2.7169268676678757,2.651252786789808,3.726769813882279,3.6472935671417415,2.7511185229131128
usa_san francisco_astoria_hotel,san-francisco,4.020071381939918,3.4830004441764757,2.8866603916860516,3.036619954599738,2.9660261009220017,3.455970637176025,2.6957679565721144,3.262573841068618,2.896561122139183
usa_san francisco_baldwin_hotel,san-francisco,4.767711264361277,4.198952939654935,3.460390869273977,4.107352553282802,3.6412979281678663,3.4715469844850397,3.1787576782649296,3.3655365609762184,3.2624158158807495
usa_san francisco_bay_bridge_inn,san-francisco,3.3532201137757807,2.9494516947304543,2.453567516051272,2.6085042806353904,2.1856720104064395,2.5141463115433105,2.5738877896819283,2.621853021581308,2.044441339265062
usa_san francisco_bayside_inn_at_the_wharf_pacific_hotels,san-francisco,2.8352719247109937,2.1526636943307693,2.1034377506550275,1.9778610744060345,1.6892793345234214,2.839037803106438,1.4941478334608076,2.5205447868118616,1.975119867136561
usa_san francisco_beach_motel,san-francisco,2.5545122540130425,2.1029534732384008,1.3779916391113542,2.390098375264029,1.2059725407332949,2.5011087091621587,1.0,2.058944665135419,2.3487364604299215
usa_san francisco_beck_s_motor_lodge,san-francisco,3.898730248444008,3.106596817454296,2.193181491158307,3.0492301382939058,2.1569103551033457,2.931688708118223,2.7297156667182834,2.8338934012029435,2.2011586949550725
usa_san francisco_beresford_arms,san-francisco,4.241963965733484,4.2775117604564645,3.355828714962908,3.459869765711492,3.5318252261513208,2.9573159463169882,3.651864192944929,3.455828957371776,2.991126389898639
usa_san francisco_best_western_americania,san-francisco,3.866095823586156,3.4607941499781223,2.992452951635146,3.0291703019423437,2.7331656989770274,3.0873314865203345,3.5739201054025944,3.21078218417755,2.5212776327445905
usa_san francisco_best_western_carriage_inn,san-francisco,4.135289352714089,4.093855385761122,3.2861964413758624,3.4314604282952397,3.5473351095786088,3.2386168376829514,4.211280383053516,3.518631952283174,2.334078158806872
usa_san francisco_best_western_civic_center_motor_inn,san-francisco,3.4819363474022813,3.0983056831038023,2.266644837423873,2.4182582802963495,3.0494622548931143,3.0004432636832896,2.439850854257278,2.724231224033838,2.3937349679488618
usa_san francisco_best_western_hotel_tomo,san-francisco,4.45629082305577,4.060765001729306,3.173113695765437,3.50341904528056,3.26647449312023,3.441424859303979,3.7523091827017847,3.5230097362977593,2.283005769835486
usa_san francisco_best_western_the_hotel_california,san-francisco,3.7746127637440097,4.028022100693848,3.145489052926913,3.4981207017377978,3.399158603459205,2.853004691216534,4.125551046247987,3.3554039022748507,3.4399739734121315
